Session_ID,Customer_ID,Visit_Date,Age,Gender,City,Customer_Type,Previous_Purchases,Device,Traffic_Source,Session_Duration_Min,Pages_Viewed,Products_Viewed,Product_Category,Item_Purchased,Product_Price_INR,Added_to_Cart,Cart_Value_INR,Discount_Offered,Discount_Percent,Discount_Used,Purchased,Purchase_Amount_INR,Payment_Method,Delivery_Type,Review_Rating,Customer_Satisfaction
SES502174,CUST10690,2025-06-22 00:00:00,29,MALE,Mumbai,Returning,14,Mobile,Referral,7.4,7,3,Beauty,Lipstick,2107,Yes,4452,Yes,15,Yes,Yes,3092,Wallet,Express,5,3.4
SES503316,CUST11135,2025-04-21 00:00:00,29,FEMALE,Delhi,Returning,8,Desktop,YouTube,7.6,10,1,Books,Academic Book,944,Yes,1026,No,0,No,No,0,Credit Card,Express,,
SES505727,CUST11105,2026-02-01 00:00:00,22,FEMALE,Pune,Returning,9,Mobile,Direct,6.8,7,3,Electronics,Smart Watch,30108,No,0,Yes,15,Yes,No,0,Cash on Delivery,Standard,,
SES504114,CUST10145,2025-02-19 00:00:00,18,FEMALE,Delhi,New,0,Mobile,Email,4.2,7,6,Books,Biography,1845,Yes,1914,No,0,No,Yes,3425,Debit Card,Standard,3.4,5
SES500297,CUST11907,2025-01-25 00:00:00,33,MALE,Bangalore,Returning,10,Desktop,Referral,6.9,11,5,Fashion,Kurta,4546,No,0,Yes,5,Yes,No,0,Wallet,Standard,,
SES502665,CUST12047,2026-05-03 00:00:00,39,MALE,Bangalore,Returning,13,Mobile,Facebook,14.9,8,1,Electronics,Smart Watch,13662,Yes,33985,Yes,20,Yes,Yes,27045,Cash on Delivery,Standard,5,3.9
SES501870,CUST11598,2025-10-18 00:00:00,30,FEMALE,Kolkata,New,0,Desktop,Facebook,10.8,8,6,Electronics,Wireless Earbuds,23534,Yes,50951,Yes,5,Yes,Yes,38177,UPI,Express,4.1,3.2
SES500229,CUST10816,2026-01-03 00:00:00,31,MALE,Kolkata,Returning,8,Mobile,YouTube,8.5,8,4,Electronics,Headphones,18129,No,0,Yes,5,Yes,No,0,Wallet,Standard,,
SES502352,CUST10460,2025-04-16 00:00:00,29,MALE,Delhi,New,0,Mobile,Google,11.7,13,5,Electronics,Smart Watch,11128,Yes,10346,Yes,15,Yes,No,0,upi,Standard,,
SES504410,CUST10440,2026-04-30 00:00:00,49,MALE,Chennai,New,0,Desktop,Instagram,5.6,4,5,Fashion,T-Shirt,5413,No,0,No,0,No,No,0,UPI,Standard,,
SES501631,CUST10944,2025-07-25 00:00:00,38,MALE,Chennai,New,0,Mobile,Email,6.7,6,2,Beauty,Face Wash,2156,Yes,5180,No,0,No,Yes,3928,UPI,Standard,3.8,4.5
SES502451,CUST11385,2026-05-14 00:00:00,35,FEMALE,Mumbai,Returning,3,Mobile,Instagram,7.7,5,7,Electronics,Wireless Earbuds,31273,Yes,60389,Yes,5,Yes,Yes,37530,UPI,Standard,3.4,3.8
SES504007,CUST10192,2026-06-07 00:00:00,25,MALE,Delhi,New,0,Mobile,Instagram,15.2,6,1,Sports,Football,2835,No,0,Yes,20,Yes,No,0,Credit Card,Standard,,
SES504563,CUST10244,2025-12-13 00:00:00,37,FEMALE,Bangalore,New,0,Mobile,Facebook,10.9,7,2,Home & Kitchen,Storage Box,7807,No,0,Yes,25,Yes,Yes,6660,Cash on Delivery,Standard,3.8,3.8
SES500554,CUST10689,2026-04-10 00:00:00,23,FEMALE,Hyderabad,Returning,11,Desktop,Email,6.5,6,4,Electronics,Smart Watch,18710,Yes,31149,No,0,No,Yes,24976,Wallet,Standard,3.2,3.8
SES505458,CUST10477,2025-10-07 00:00:00,36,MALE,Hyderabad,Returning,3,Tablet,Google,12.5,9,4,Books,Self Help Book,2100,No,0,Yes,25,Yes,Yes,2480,UPI,Same Day,3.9,3
SES501398,CUST10106,2026-01-02 00:00:00,22,FEMALE,Delhi,New,0,Tablet,Direct,3.7,14,3,Fashion,Jacket,1346,Yes,1499,No,0,No,Yes,2905,UPI,Standard,4.4,4.8
SES502863,CUST10952,2025-12-04 00:00:00,18,FEMALE,Hyderabad,Returning,11,Mobile,Email,4.1,8,5,Fashion,Kurta,6071,Yes,4973,No,0,No,Yes,8532,Credit Card,Express,3.9,4.7
SES505437,CUST12008,2026-02-26 00:00:00,18,MALE,Delhi,New,0,Mobile,Google,7.6,5,4,Fashion,T-Shirt,468,Yes,585,Yes,5,No,Yes,758,Credit Card,Standard,4.8,4.4
SES500539,CUST11945,2026-02-02 00:00:00,42,MALE,Chennai,Returning,7,Mobile,Email,6.2,9,3,Electronics,Headphones,25750,Yes,30364,No,0,No,No,0,UPI,Standard,,
SES504421,CUST11486,2025-01-19 00:00:00,36,FEMALE,Mumbai,Returning,15,Mobile,Referral,12.5,3,3,Fashion,Kurta,5256,No,0,Yes,10,Yes,Yes,9843,Debit Card,Same Day,4.1,4.8
SES505398,CUST10392,2026-04-20 00:00:00,59,FEMALE,Kolkata,Returning,9,Mobile,Google,14.9,8,6,Fashion,Kurta,1405,No,0,Yes,20,No,Yes,2866,Credit Card,Standard,3.6,3.8
SES501478,CUST10637,2025-06-12 00:00:00,18,MALE,Ahmedabad,New,0,Mobile,Facebook,12.5,6,3,Fashion,Kurta,722,No,0,No,0,No,No,0,UPI,Express,,
SES503317,CUST11504,2026-03-25 00:00:00,25,MALE,Hyderabad,New,0,Mobile,Google,2.5,8,2,Beauty,Shampoo,1904,Yes,3200,No,0,No,No,0,UPI,Express,,
SES501701,CUST10631,2025-05-18 00:00:00,31,MALE,Delhi,New,1,Mobile,YouTube,10.4,10,2,Books,Academic Book,2326,Yes,4513,No,0,No,Yes,2355,UPI,Same Day,4.2,4
SES501216,CUST11275,2025-09-26 00:00:00,26,MALE,Mumbai,New,0,Mobile,Facebook,7,4,2,Beauty,Shampoo,1289,No,0,No,0,No,No,0,UPI,Standard,,
SES500080,CUST11797,2026-04-13 00:00:00,18,MALE,Ahmedabad,Returning,13,Desktop,Direct,11.4,4,2,Books,Fiction Book,2140,No,0,Yes,15,Yes,Yes,1821,Cash on Delivery,Standard,3.2,3.7
SES504889,CUST10191,2026-02-04 00:00:00,31,MALE,Hyderabad,New,0,Mobile,Email,15.2,5,2,Fashion,T-Shirt,4546,No,0,Yes,10,No,No,0,Credit Card,Express,,
SES501587,CUST11328,2026-01-05 00:00:00,32,MALE,Delhi,Returning,10,Tablet,Google,9.9,6,4,Beauty,Lipstick,4102,Yes,6490,No,0,No,Yes,4173,Cash on Delivery,Same Day,3.9,4.3
SES503718,CUST11655,2025-07-31 00:00:00,32,FEMALE,Mumbai,New,1,Desktop,YouTube,16,5,2,Books,Academic Book,2330,No,0,No,0,No,Yes,3715,Wallet,Standard,2.9,3.6
SES502405,CUST11279,2026-03-25 00:00:00,32,FEMALE,Mumbai,New,0,Mobile,Email,7.4,4,5,Sports,Running Shoes,4390,No,0,No,0,No,No,0,UPI,Same Day,,
SES500502,CUST10203,2025-09-22 00:00:00,30,MALE,Pune,Returning,9,Mobile,Referral,5.7,8,2,Books,Self Help Book,2243,Yes,5577,Yes,5,Yes,No,0,Cash on Delivery,Express,,
SES503407,CUST10622,2025-08-22 00:00:00,35,FEMALE,Pune,Returning,5,Mobile,YouTube,4.5,4,2,Beauty,Perfume,4246,Yes,7872,No,0,No,No,0,Credit Card,Standard,,
SES502390,CUST11853,2025-08-11 00:00:00,31,MALE,Lucknow,New,0,Mobile,Google,7.2,8,4,Books,Academic Book,1082,Yes,1215,Yes,20,Yes,Yes,1605,UPI,Standard,3.9,4.2
SES500309,CUST10682,2025-06-26 00:00:00,30,MALE,Delhi,New,0,Mobile,Direct,4.2,9,1,Electronics,Wireless Earbuds,5373,No,0,No,0,No,No,0,Credit Card,Standard,,
SES502944,CUST11114,2025-10-25 00:00:00,22,FEMALE,Pune,New,0,Mobile,YouTube,14.2,10,2,Electronics,Bluetooth Speaker,33337,No,0,No,0,No,No,0,Debit Card,Standard,,
SES500587,CUST10771,2026-01-06 00:00:00,32,FEMALE,Bangalore,New,0,Mobile,Google,5,7,7,Home & Kitchen,Coffee Maker,941,No,0,No,0,No,No,0,Cash on Delivery,Standard,,
SES501892,CUST10465,2025-09-06 00:00:00,40,MALE,Pune,Returning,6,Desktop,Instagram,19.1,6,2,Sports,Running Shoes,11234,Yes,26166,No,0,No,Yes,10081,UPI,Standard,4,4.9
SES502054,CUST11044,2026-01-09 00:00:00,39,MALE,Lucknow,Returning,10,Tablet,Facebook,7.7,10,9,Fashion,T-Shirt,4591,Yes,5723,No,0,No,Yes,5134,UPI,Express,3.3,3.8
SES503051,CUST11925,2026-06-28 00:00:00,20,MALE,Hyderabad,Returning,8,Desktop,YouTube,24.7,10,4,Fashion,Sneakers,6298,No,0,Yes,20,Yes,No,0,UPI,Express,,
SES503012,CUST12141,2025-12-22 00:00:00,23,FEMALE,Hyderabad,New,0,Mobile,Direct,13.4,9,4,Books,Business Book,1976,Yes,2920,Yes,25,Yes,No,0,Credit Card,Express,,
SES502116,CUST10602,2025-08-24 00:00:00,34,MALE,Kolkata,New,0,Mobile,Direct,13.3,4,6,Electronics,Bluetooth Speaker,8350,Yes,9916,Yes,5,Yes,No,0,Net Banking,Standard,,
SES502348,CUST10533,2025-10-21 00:00:00,31,MALE,Mumbai,Returning,12,Mobile,Direct,8.7,13,2,Sports,Cricket Bat,7664,Yes,12919,Yes,20,No,Yes,11840,UPI,Standard,5,4
SES503652,CUST11137,2025-12-28 00:00:00,27,MALE,Bangalore,New,0,Desktop,Direct,2.2,9,2,Books,Academic Book,298,Yes,481,Yes,25,No,Yes,341,Net Banking,Express,4,2.3
SES500255,CUST10017,2025-02-19 00:00:00,20,MALE,Lucknow,Returning,5,Mobile,Google,0.8,10,5,Electronics,Smart Watch,21577,No,0,Yes,25,Yes,No,0,Credit Card,Standard,,
SES504332,CUST12177,2025-10-23 00:00:00,26,FEMALE,Bangalore,New,0,Mobile,Google,4.8,11,7,Home & Kitchen,Cookware Set,7208,No,0,Yes,20,Yes,No,0,Debit Card,Express,,
SES502516,CUST11367,2025-05-18 00:00:00,30,MALE,Ahmedabad,New,0,Mobile,Email,0.9,5,5,Fashion,T-Shirt,6710,No,0,Yes,25,Yes,No,0,Debit Card,Express,,
SES505793,CUST11159,2026-04-12 00:00:00,19,MALE,Bangalore,Returning,14,Mobile,Google,20.2,4,4,Beauty,Face Wash,4104,Yes,4691,No,0,No,Yes,8592,UPI,Express,4.1,3.9
SES503591,CUST11541,2025-06-13 00:00:00,32,MALE,Hyderabad,New,0,Mobile,Direct,7.9,9,5,Books,Business Book,220,Yes,326,Yes,25,Yes,No,0,Cash on Delivery,Same Day,,
SES503990,CUST10250,2026-03-29 00:00:00,39,FEMALE,Bangalore,New,0,Mobile,Email,1.3,10,4,Beauty,Lipstick,433,Yes,934,Yes,10,Yes,Yes,349,Debit Card,Express,4,4.1
SES505739,CUST10723,2025-03-31 00:00:00,37,MALE,Hyderabad,New,0,Mobile,Google,7.3,7,7,Sports,Cricket Bat,9929,No,0,Yes,20,Yes,No,0,Debit Card,Standard,,
SES504866,CUST11665,2026-04-01 00:00:00,39,FEMALE,Delhi,Returning,8,Desktop,Google,11.2,4,4,Fashion,Kurta,2811,Yes,4045,Yes,15,Yes,Yes,5439,UPI,Standard,4.4,5
SES502953,CUST10216,2026-01-05 00:00:00,31,FEMALE,Hyderabad,New,0,Desktop,Instagram,2.9,11,3,Home & Kitchen,Storage Box,3907,Yes,3256,No,0,No,Yes,6550,Credit Card,Standard,4.5,5
SES503536,CUST11893,2025-11-28 00:00:00,38,MALE,Delhi,Returning,2,Mobile,Google,12.4,8,4,Beauty,Lipstick,514,No,0,No,0,No,No,0,Credit Card,Standard,,
SES502367,CUST11531,2025-07-11 00:00:00,34,FEMALE,Ahmedabad,New,0,Tablet,Google,10.8,4,5,Books,Business Book,397,Yes,437,Yes,15,Yes,Yes,329,UPI,Standard,4.3,4.2
SES504103,CUST11004,2025-03-03 00:00:00,39,MALE,Pune,Returning,6,Desktop,YouTube,17.3,5,4,Electronics,Bluetooth Speaker,14976,No,0,Yes,10,Yes,No,0,Net Banking,Standard,,
SES505522,CUST11386,2025-09-26 00:00:00,20,FEMALE,Kolkata,New,0,Tablet,Email,7.2,9,5,Home & Kitchen,Storage Box,13085,No,0,No,0,No,No,0,Credit Card,Express,,
SES504127,CUST11936,2025-09-17 00:00:00,37,FEMALE,Delhi,New,0,Desktop,Direct,9.5,4,5,Beauty,Lipstick,335,No,0,No,0,No,No,0,UPI,Standard,,
SES501380,CUST10592,2025-04-29 00:00:00,25,FEMALE,Delhi,Returning,14,Desktop,Direct,9.4,7,4,Books,Self Help Book,737,Yes,904,No,0,No,Yes,754,Credit Card,Same Day,3.2,4.6
SES504158,CUST10608,2025-03-26 00:00:00,36,FEMALE,Hyderabad,New,0,Desktop,Email,7.2,7,9,Home & Kitchen,Storage Box,12963,Yes,21853,No,0,No,No,0,UPI,Express,,
SES504321,CUST10288,2025-02-26 00:00:00,19,FEMALE,Jaipur,New,1,Mobile,Referral,9.7,7,5,Fashion,T-Shirt,2385,No,0,No,0,No,No,0,UPI,Standard,,
SES504429,CUST10681,2025-06-10 00:00:00,42,MALE,Mumbai,New,0,Mobile,Facebook,10.2,4,4,Fashion,Jeans,3926,No,0,Yes,30,No,No,0,CREDIT CARD,Express,,
SES501316,CUST10989,2026-06-25 00:00:00,41,FEMALE,Mumbai,Returning,2,Desktop,Facebook,20.4,4,4,Books,Academic Book,1805,No,0,Yes,15,Yes,No,0,Net Banking,Standard,,
SES500234,CUST11219,2025-09-26 00:00:00,41,MALE,Chennai,Returning,8,Mobile,Google,17.3,8,3,Home & Kitchen,Table Lamp,4562,Yes,10781,Yes,5,No,Yes,7893,Cash on Delivery,Standard,3.9,5
SES504734,CUST11179,2025-12-31 00:00:00,18,FEMALE,Kolkata,New,0,Mobile,Google,17.1,8,3,Home & Kitchen,Bedsheet,14770,No,0,Yes,10,No,No,0,UPI,Express,,
SES501484,CUST10478,2026-05-11 00:00:00,31,FEMALE,Bangalore,New,0,Mobile,Google,6,10,5,Fashion,Jeans,4136,No,0,No,0,No,No,0,Cash on Delivery,Standard,,
SES502120,CUST11597,2025-05-14 00:00:00,40,MALE,Kolkata,Returning,11,Mobile,Facebook,10,5,3,Beauty,Face Wash,4501,Yes,4048,Yes,20,Yes,Yes,5877,Cash on Delivery,Standard,2.9,3.3
SES503941,CUST11210,2026-01-25 00:00:00,18,FEMALE,Delhi,New,0,Mobile,Email,9.6,7,3,Beauty,Shampoo,1438,No,0,Yes,5,Yes,No,0,Credit Card,Standard,,
SES504568,CUST10330,2025-10-04 00:00:00,26,MALE,Pune,Returning,7,Tablet,YouTube,6.7,3,6,Fashion,Kurta,4185,Yes,8595,Yes,25,Yes,Yes,5717,Cash on Delivery,Standard,4.9,3.3
SES500038,CUST12042,2025-06-20 00:00:00,19,MALE,Delhi,Returning,4,Mobile,Direct,7.8,8,5,Electronics,Headphones,33147,Yes,28339,Yes,5,Yes,No,0,Cash on Delivery,Express,,
SES503263,CUST11158,2025-11-11 00:00:00,27,FEMALE,Ahmedabad,New,0,Mobile,Google,4.1,11,7,Home & Kitchen,Coffee Maker,11894,No,0,Yes,20,No,No,0,Credit Card,Express,,
SES502571,CUST11475,2025-06-12 00:00:00,39,FEMALE,Mumbai,Returning,12,Mobile,Direct,13.1,6,5,Books,Business Book,2233,No,0,No,0,No,No,0,Credit Card,Express,,
SES505934,CUST10224,2026-02-26 00:00:00,42,FEMALE,Delhi,Returning,12,Mobile,Google,15.9,5,1,Home & Kitchen,Storage Box,9807,Yes,23838,Yes,5,Yes,Yes,18197,Credit Card,Standard,4,3.4
SES503510,CUST10532,2025-06-29 00:00:00,48,MALE,Delhi,Returning,10,Mobile,Instagram,3.2,7,4,Books,Self Help Book,938,Yes,1267,Yes,30,Yes,Yes,1164,Credit Card,Standard,3.1,4
SES500894,CUST10664,2026-01-17 00:00:00,35,FEMALE,Lucknow,New,0,Mobile,Instagram,9.5,6,3,Books,Biography,1303,No,0,No,0,No,No,0,UPI,Standard,,
SES505719,CUST10575,2026-01-30 00:00:00,27,MALE,Delhi,Returning,9,Mobile,Google,5.6,6,5,Beauty,Moisturizer,4243,Yes,3679,Yes,15,No,Yes,7138,Credit Card,Express,3.7,4.2
SES502572,CUST11180,2025-04-04 00:00:00,36,FEMALE,Chennai,Returning,14,Mobile,YouTube,9.9,9,4,Home & Kitchen,Storage Box,8478,Yes,15388,No,0,No,Yes,16359,UPI,Express,3.8,3.6
SES500706,CUST12082,2025-10-08 00:00:00,31,MALE,Bangalore,New,0,Mobile,Instagram,8.2,12,2,Sports,Running Shoes,2657,No,0,No,0,No,No,0,Credit Card,Express,,
SES504048,CUST11612,2025-09-30 00:00:00,23,MALE,Delhi,New,0,Mobile,Direct,13.1,4,2,Books,Fiction Book,800,Yes,1827,No,0,No,No,0,Credit Card,Standard,,
SES504295,CUST10148,2026-01-31 00:00:00,32,MALE,Delhi,New,0,Desktop,Direct,3.8,2,4,Books,Self Help Book,1537,No,0,No,0,No,No,0,Debit Card,Standard,,
SES502865,CUST12017,2025-02-17 00:00:00,18,MALE,Mumbai,New,0,Mobile,YouTube,16.4,9,6,Electronics,Headphones,2459,Yes,5451,Yes,10,Yes,Yes,2223,Credit Card,Express,4.5,3
SES501540,CUST11059,2026-02-19 00:00:00,21,MALE,Pune,Returning,15,Mobile,Instagram,8.1,6,2,Beauty,Perfume,2408,No,0,Yes,10,Yes,Yes,2639,UPI,Standard,5,3.2
SES504695,CUST11924,2026-03-15 00:00:00,27,MALE,Mumbai,New,1,Tablet,Direct,8.4,12,4,Sports,Football,6957,Yes,14977,No,0,No,No,0,UPI,Standard,,
SES500961,CUST10823,2025-04-07 00:00:00,38,FEMALE,Bangalore,New,0,Desktop,Direct,12.4,6,5,Home & Kitchen,Bedsheet,12480,Yes,15491,No,0,No,No,0,UPI,Standard,,
SES500222,CUST10338,2025-07-08 00:00:00,34,FEMALE,Lucknow,New,0,Desktop,Google,9.5,3,1,Fashion,Jacket,2743,No,0,Yes,5,Yes,No,0,UPI,Express,,
SES500866,CUST11014,2025-10-29 00:00:00,25,MALE,Chennai,Returning,2,Mobile,YouTube,3.8,8,3,Home & Kitchen,Storage Box,5880,No,0,Yes,10,No,Yes,9600,Debit Card,Standard,3.7,4.3
SES502655,CUST12187,2025-01-17 00:00:00,41,MALE,Delhi,New,1,Desktop,Email,11.5,4,4,Books,Academic Book,801,No,0,No,0,No,No,0,Wallet,Standard,,
SES503201,CUST10595,2025-08-23 00:00:00,37,FEMALE,Chennai,Returning,13,Mobile,YouTube,7.3,5,6,Fashion,T-Shirt,5021,Yes,9415,Yes,15,No,Yes,5848,Debit Card,Standard,3.7,5
SES500545,CUST11825,2025-11-11 00:00:00,20,MALE,Pune,Returning,11,Mobile,Instagram,7.9,4,5,Fashion,Jeans,4074,Yes,8317,No,0,No,Yes,4731,Wallet,Standard,4.4,4.2
SES502081,CUST11338,2025-10-23 00:00:00,18,MALE,Jaipur,New,0,Mobile,YouTube,12.8,5,5,Beauty,Moisturizer,3046,No,0,No,0,No,No,0,Debit Card,Express,,
SES500168,CUST10294,2026-05-23 00:00:00,29,FEMALE,Chennai,New,0,Mobile,Direct,6.6,10,4,Electronics,Power Bank,4281,No,0,No,0,No,No,0,UPI,Same Day,,
SES500094,CUST11029,2026-02-11 00:00:00,19,FEMALE,Delhi,Returning,12,Desktop,Referral,7.7,4,5,Electronics,Power Bank,21632,No,0,No,0,No,No,0,Credit Card,Standard,,
SES502318,CUST11716,2025-09-24 00:00:00,30,MALE,Delhi,New,0,Mobile,Google,8.7,3,3,Sports,Football,563,Yes,685,Yes,15,Yes,Yes,443,Cash on Delivery,Standard,4.3,3.9
SES504611,CUST11828,2025-06-28 00:00:00,21,MALE,Pune,Returning,11,Mobile,Referral,10.8,9,6,Fashion,Jeans,2648,Yes,4267,No,0,No,Yes,3792,UPI,Standard,2.8,5
SES504451,CUST11986,2025-04-19 00:00:00,30,FEMALE,Kolkata,Returning,4,Mobile,Referral,10.7,8,8,Sports,Yoga Mat,10585,No,0,Yes,25,Yes,No,0,Credit Card,Express,,
SES501745,CUST11822,2026-05-13 00:00:00,18,MALE,Chennai,New,0,Mobile,Google,35,8,3,Beauty,Moisturizer,313,Yes,593,Yes,15,Yes,Yes,600,Debit Card,Standard,4,2.9
